Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
The Parsifal Mosaic,Robert Ludlum,"Michael Havelock's world died on a moonlit beach on the Costa Brava. He watched as his partner and lover, Jenna Karats, double agent, was efficiently gunned down by his own agency. There was nothing left for him but to quit the game, get out. Until, in one frantic moment on a crowded railroad platform in Rome, Havelock saw his Jenna alive. From then on, he was marked for death by both U.S. and Russian assassins, racing around the globe after his beautiful betrayer, trapped in a massive mosaic of treachery created by a top-level mole with the world in his fist--Parsifal.",Action,1983,708,en,No rating,http://books.google.co.in/books?id=8eBeSclQFTYC&dq=subject:action&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=8eBeSclQFTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Bourne Identity,Robert Ludlum,"He was dragged from the sea, his body riddled with bullets. There are a few clues: a frame of microfilm surgically implanted beneath the skin of his hip; evidence that plastic surgery has altered his face; strange things he says in his delirium, which could be code words. And a number on the film negative that leads to a bank account in Zurich, four million dollars, and a name for the amnesiac: Jason Bourne. Now he is running for his life. A man with an unknown past and an uncertain future, the target of assassins and at the heart of a deadly puzzle. He's fighting for survival and no one can help him - except the one woman who once wanted to escape him... Read by Jeff Harding",Amnesia,2004,566,en,No rating,http://books.google.co.in/books?id=Jp1hPwAACAAJ&dq=subject:action&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=Jp1hPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Scarlatti Inheritance,Robert Ludlum,Een Amerikaanse geheime agent tracht een complot te verijdelen van grote financiers die voor de tweede wereldoorlog steun willen verlenen aan nazi-Duitsland.,Fiction,1972,338,en,No rating,http://books.google.co.in/books?id=iay07elMcT4C&dq=subject:action&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=iay07elMcT4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Trials of Apollo, Book Two: The Dark Prophecy",Rick Riordan,"Leaving the relative safety of the demigod training ground with his companions, a disgraced Apollo embarks on a quest across North America to find a dangerous ancient-world Oracle while navigating the challenges of the evil Triumvirate.",Juvenile Fiction,2017-05-02,0,en,No rating,http://books.google.co.in/books?id=ZrSPEAAAQBAJ&dq=subject:action&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=ZrSPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Matlock Paper,Robert Ludlum,"James Barbout Matlock is a Vietnam veteran and college professor, but now the US government has an assignment for him. They want him to investigate what seems to be a large-scale drugs and prostitution business; and they'll go to any lengths to find the answers they need. Matlock is soon trapped in a maze of unrelenting terror, as the people he cares for most are under threat. Would he have accepted the job if he'd known just what it would mean?",Fiction,1974,292,en,No rating,http://books.google.co.in/books?id=A8fqYHpIo6sC&dq=subject:action&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=A8fqYHpIo6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Magnus Chase and the Gods of Asgard, Book One: The Sword of Summer",Rick Riordan,"Magnus Chase, a homeless boy living in Boston, finds out he is the son of a Norse god.",Juvenile Fiction,2015-10-06,0,en,No rating,http://books.google.co.in/books?id=lmCPEAAAQBAJ&dq=subject:action&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=lmCPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Robert Ludlum's the Bourne Dominion,"Robert Ludlum, Eric Van Lustbader","Bourne's enemies are gathering force. Severus Domna, a secret and ancient cabal, has called forth its members from around the globe, with one objective: to vanquish the last person capable of destroying their bid to de-stabilize the world economy - Jason Bourne.",Action,2012,0,en,No rating,http://books.google.co.in/books?id=9g6YQgAACAAJ&dq=subject:action&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=9g6YQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Bourne Ultimatum,Robert Ludlum,"It all starts with a cat-and-mouse chase to the death in a Baltimore funfair: the Jackal, Bourne's age-old antagonist, is back and Bourne is forced from his idyllic retirement with his wife and children to confront his enemy. In Europe and America there are men and women whose lust for power is disguised by their positions and respectability. Their aim: to gain control at the highest level, to avenge, to destroy. Jason Bourne has been the assassin before: now he longs for peace with his family, but the threat of the Jackal puts in jeopardy all possibility of peace...","Bourne, Jason (Fictitious character)",2004,725,en,4,http://books.google.co.in/books?id=t718PwAACAAJ&dq=subject:action&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=t718PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Moonraker,Ian Fleming,"The club where James Bond is asked to settle a dispute over ungentlemanly behaviour is embarrassed. The accused is the unimpeachable Sir Hugo Drax, head of the multi-million-pound Moonraker missile programme on which Britain's future depends.",Fiction,2002,324,en,No rating,http://books.google.co.in/books?id=uHKmcQZ4lxAC&dq=subject:action&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=uHKmcQZ4lxAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Contest,Matthew Reilly,"Second edition of a science-fiction thriller set in the New York State Library, in which a doctor and his daughter unwittingly become involved in a deadly competition. Originally self-published in 1996. This edition includes some revisions and an author interview. Author has also written the international bestsellers 'Ice Station' and 'Temple'.",Albany (N.Y.),2000,352,en,No rating,http://books.google.co.in/books?id=SaqTPwAACAAJ&dq=subject:action&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=SaqTPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
