Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Harry Potter and the Deathly Hallows,J. K. Rowling,"""The final adventure in J.K. Rowling's phenomenal, best-selling Harry Potter book series""--Provided by publisher.",Bildungsromans,2007,792,en,4.5,http://books.google.co.in/books?id=GZAoAQAAIAAJ&dq=subject:fantasy&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=GZAoAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Wind in the Willows,Kenneth Grahame,"The tales of Ratty, Mole, Badger and Toad. When Mole goes boating with the Water Rat instead of spring-cleaning, he discovers a new world. As well as the river and the Wild Wood, there is Toad's craze for fast travel which leads him and his friends on a whirl of trains, barges, gipsy caravans and motor cars and even into battle.",Juvenile Fiction,1993,202,en,4.5,http://books.google.co.in/books?id=Mo7D3Je7_DMC&printsec=frontcover&dq=subject:fantasy&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=Mo7D3Je7_DMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Assassin's Blade,Sarah J. Maas,"Celaena Sardothien is Adarlan's most feared assassin. As part of the Assassins' Guild, her allegiance is to her master, Arobynn Hamel, yet Celaena listens to no one and trusts only her fellow killer-for-hire, Sam. In these action-packed prequel novellas - together in one edition for the first time - Celaena embarks on five daring missions. They take her from remote islands to hostile deserts, where she fights to liberate slaves and seeks to avenge the tyrannous. But she is acting against Arobynn's orders and could suffer an unimaginable punishment for such treachery ...Explore the dark underworld of this kick-ass heroine and find out how the legend begins in the five page-turning prequel novellas to the New York Times bestselling Throne of Glass series.",Juvenile Fiction,2014,465,en,5,http://books.google.co.in/books?id=xLacAgAAQBAJ&printsec=frontcover&dq=subject:fantasy&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=xLacAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Wizard of Oz,L. Frank Baum,"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",Fiction,2009,188,en,1,http://books.google.co.in/books?id=hRd7dJ-9G1IC&printsec=frontcover&dq=subject:fantasy&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=hRd7dJ-9G1IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bloodmarked,Tracy Deonn,"""When the leaders of the Order reveal that they will do everything in their power to keep the approaching demon war a secret, Bree and her friends go on the run so she can learn how to control her devastating new powers.""--",Juvenile Fiction,2022-11-08,576,en,No rating,http://books.google.co.in/books?id=S9RJEAAAQBAJ&printsec=frontcover&dq=subject:fantasy&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=S9RJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Throne of Glass,Sarah J. Maas,"A hugely commercial, fabulously addictive fantastical romp - from an author with top-notch digital self-publishing pedigree and legions of fans awaiting publication",Juvenile Fiction,2012,419,en,No rating,http://books.google.co.in/books?id=D8GIcKPGNR8C&printsec=frontcover&dq=subject:fantasy&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=D8GIcKPGNR8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Game of Thrones,George R. R. Martin,Fantasy-roman.,Fiction,2011,876,en,4.5,http://books.google.co.in/books?id=bIZiAAAAMAAJ&dq=subject:fantasy&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=bIZiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Peter Pan,James Matthew Barrie,"The adventures of the three darling children in Never-Never Land with Peter Pan, the boy who would not grow up.",Fiction,2008,164,en,No rating,http://books.google.co.in/books?id=WdM_qxJq8T8C&printsec=frontcover&dq=subject:fantasy&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=WdM_qxJq8T8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bridge to Terabithia,Katherine Paterson,"The life of a ten-year-old boy in rural Virginia expands when he becomes friends with a newcomer who subsequently meets an untimely death trying to reach their hideaway, Terabithia, during a storm.",Juvenile Fiction,1977,142,en,5,http://books.google.co.in/books?id=Hnb-93B3OGAC&dq=subject:fantasy&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=Hnb-93B3OGAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Through the Looking-glass,Lewis Carroll,No description available,Fantasy,1875,250,en,4,http://books.google.co.in/books?id=cJJZAAAAYAAJ&printsec=frontcover&dq=subject:fantasy&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=cJJZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
