Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Tales from the Shadowhunter Academy,"Cassandra Clare, Sarah Rees Brennan, Maureen Johnson, Robin Wasserman","Collects short stories chronicling Simon's journey from amnesia to Ascension, as he works to regain his lost life while attending the Shadowhunter Academy.",Juvenile Fiction,2016-11-15,672,en,4.5,http://books.google.co.in/books?id=gvB1DQAAQBAJ&printsec=frontcover&dq=subject:horror&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=gvB1DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Misery,Stephen King,Can a best-selling author escape from a psychotic nurse who wants him to respect her favorite literary character? Copyright © Libri GmbH. All rights reserved.,Fiction,1987,328,en,5,http://books.google.co.in/books?id=KbMhAQAAIAAJ&dq=subject:horror&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=KbMhAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Howling Ghost,Christopher Pike,"Cindy's brother is taken away by a ghost. Sally, Adam, and Watch promise to bring him back.",Fiction,2014-08-05,128,en,No rating,http://books.google.co.in/books?id=hlMdBAAAQBAJ&printsec=frontcover&dq=subject:horror&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=hlMdBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Frankenstein,Mary Shelley,A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator.,Juvenile Fiction,1994,196,en,No rating,http://books.google.co.in/books?id=4dHXkNcpIXgC&dq=subject:horror&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=4dHXkNcpIXgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Asian Horror Encyclopedia,Laurence C. Bush,"The Asian Horror Encyclopedia is the first reference work of its kind in English. It covers Asian horror culture in literature, art, film and comics. From its roots in ancient Chinese folklore to the best-selling Japanese horror novelists of today, this book is a handy alphabetic reference, collecting scarce information from obscure sources.",Drama,2001,250,en,No rating,http://books.google.co.in/books?id=9_RvVRPMFeIC&printsec=frontcover&dq=subject:horror&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=9_RvVRPMFeIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Secret Path,Christopher Pike,"Disregarding a warning that the town of Springfield is called ""Spooksville"" for a good reason, newcomer Adam accompanies his friends to a secret path at the graveyard that is said to lead to other, more terrifying worlds.",Juvenile Fiction,2014-08-05,128,en,No rating,http://books.google.co.in/books?id=8lIdBAAAQBAJ&printsec=frontcover&dq=subject:horror&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=8lIdBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Frankenstein,Mary Wollstonecraft Shelley,"This revision of a widely adopted critical edition presents the 1831 text of Mary Shelley7;s English Romantic novel along with critical essays that introduce students to ""Frankenstein"" from contemporary psychoanalytic, Marxist, feminist, gender, and cultural studies perspectives. An additional essay demonstrates how various critical perspectives can be combined. In the second edition, 3 of the 6 essays are new. The text and essays are complemented by contextual documents, introductions (with bibliographies), and a glossary of critical and theoretical terms.",Fiction,1965,230,en,No rating,http://books.google.co.in/books?id=xFIN97PzxxYC&dq=subject:horror&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=xFIN97PzxxYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ghost Stories (Nancy Drew ),Carolyn Keene,A collection of six ghost stories.,Juvenile Fiction,1989-10,166,en,5,http://books.google.co.in/books?id=oAmUFf_d62EC&printsec=frontcover&dq=subject:horror&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=oAmUFf_d62EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Dracula,Bram Stoker,"After discovering the double identity of the wealthy Transylvanian nobleman, Count Dracula, a small group of people vow to rid the world of the evil vampire. Illustrated notes throughout the text explain the historical background of the story.","Dracula, Count (Fictitious character)",1997,64,en,No rating,http://books.google.co.in/books?id=aCtQPgAACAAJ&dq=subject:horror&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=aCtQPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Phantom of the Opera,Gaston Leroux,Under the Paris Opera House lives a disfigured musical genius who uses music to win the love of a beautiful opera singer.,Fiction,1977,390,en,No rating,http://books.google.co.in/books?id=cbFcAAAAMAAJ&dq=subject:horror&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=cbFcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Christine,Stephen King,"Arnie Cunningham, a bookish and bullied high school senior, becomes obsessed with a 1958 Plymouth named Christine, which he is restoring.",FICTION,1983,534,en,3.5,http://books.google.co.in/books?id=DdHRpPUi5LsC&dq=subject:horror&hl=&cd=11&source=gbs_api,http://books.google.com/books/content?id=DdHRpPUi5LsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Last Sacrifice,Richelle Mead,The final heart wrenching episode at St Vladimir's Academy. Rose is on trial for high treason and the death of Queen Tatiana. Someone is trying to frame her and it looks like even Dimitri might not be able to save her now.,Juvenile Fiction,2010,556,en,No rating,http://books.google.co.in/books?id=Rwcpd5zqrrkC&dq=subject:horror&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=Rwcpd5zqrrkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
