Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
A Game of Thrones,George R. R. Martin,Fantasy-roman.,Fiction,2011,876,en,4.5,http://books.google.co.in/books?id=bIZiAAAAMAAJ&dq=subject:mystery&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=bIZiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Murder is Announced,Agatha Christie,"A childish practical joke? Or a hoax intended to scare poor Letitia Blacklock? Unable to resist the mysterious invitation, a crowd begins to gather at Little Paddocks at the appointed time when, without warning, the lights go out...",Fiction,1986,244,en,No rating,http://books.google.co.in/books?id=x9RHJ8_BfpwC&dq=subject:mystery&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=x9RHJ8_BfpwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Peculiar Pumpkin Thief,Geronimo Stilton,Geronimo Stilton teams up with Hercule Poirat to determine the identity of the thief who has stolen all the pumpkins in New Mouse City just days before Halloween.,Juvenile Fiction,2010,130,en,4.5,http://books.google.co.in/books?id=2r8IsOq15hkC&printsec=frontcover&dq=subject:mystery&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=2r8IsOq15hkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Invisible Man,"Len Jenkin, Herbert George Wells",No description available,Drama,2000,78,en,No rating,http://books.google.co.in/books?id=SCHqme8AluYC&printsec=frontcover&dq=subject:mystery&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=SCHqme8AluYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Crime and Punishment,Fyodor Dostoyevsky,Jessie Coulson's translation provides the text for the Third Edition of this acclaimed Norton Critical Edition.,Fiction,1978,548,en,No rating,http://books.google.co.in/books?id=d0ZuY2eGWLAC&dq=subject:mystery&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=d0ZuY2eGWLAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Loves Music, Loves to Dance",Mary Higgins Clark,A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.,Fiction,1992-03,339,en,5,http://books.google.co.in/books?id=OHqsQwFrKO0C&printsec=frontcover&dq=subject:mystery&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=OHqsQwFrKO0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Surgeon,Tess Gerritsen,"Dr. Catherine Cordell investigates when a murderer referred to by the press and the public as ""The Surgeon"" strikes with a precision that suggests he is a deranged man of medicine.",Fiction,2001,530,en,No rating,http://books.google.co.in/books?id=s5ulrjc71nIC&dq=subject:mystery&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=s5ulrjc71nIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ten Little Indians,Agatha Christie,Previously published as: Ten little Indians.,Fiction,1978-02-01,No page count available,en,No rating,http://books.google.co.in/books?id=l_7AbwAACAAJ&dq=subject:mystery&hl=&cd=8&source=gbs_api,No thumbnail available
And Then There Were None,Agatha Christie,"One by one, the guests arrived at the mansion on Indian Island, summoned by a mysterious host. And one by one, with terrifying meticulousness, they were stalked by a cunning murderer. Utterly baffling...and yet there was a pattern, concealed in a nursery rhyme hanging over the fireplace.",Fiction,2001-05-13,294,en,4,http://books.google.co.in/books?id=ACMYLqk_7GoC&dq=subject:mystery&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=ACMYLqk_7GoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Name is Red,Orhan Pamuk,"In the late 1590s, the Turkish Sultan secretly commissions an illuminated book: a celebration of his life and his empire. At a time of violent fundamentalism, however, this is a dangerous proposition. Then one of the miniaturists is murdered. The Sultan demands an answer within three days.",Art,2001,417,en,No rating,http://books.google.co.in/books?id=K0NiQgAACAAJ&dq=subject:mystery&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=K0NiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The House at Riverton,Kate Morton,Ninety-eight-year-old Grace Bradley is visited by a young director who takes her back to Riverton House where she reveals the secret behind the death of a young poet in the summer of 1924.,Fiction,2009-03-03,496,en,3,http://books.google.co.in/books?id=9iXsIAND7KQC&printsec=frontcover&dq=subject:mystery&hl=&cd=11&source=gbs_api,http://books.google.com/books/content?id=9iXsIAND7KQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Murder on the Orient Express,Agatha Christie,Hercule Poirot is called in to solve the crime when an American passenger on the Orient Express is found murdered in his locked compartment.,Detective and mystery stories,2006,260,en,No rating,http://books.google.co.in/books?id=BSuRcQkrOB4C&dq=subject:mystery&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=BSuRcQkrOB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Night Manager,John Le Carré,"Former British intelligence officer Jonathan Pine attempts to infiltrate the entourage of Roper, a sinister and powerful Englishman responsible for fitting together the pieces for a monumental arms-for-cocaine deal. Reprint.",Fiction,1993,484,en,3.5,http://books.google.co.in/books?id=9CATRvUh3m4C&dq=subject:mystery&hl=&cd=13&source=gbs_api,http://books.google.com/books/content?id=9CATRvUh3m4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
