Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
The Light of Asia Or the Great Renunciation,Edwin Arnold,No description available,History,1890,338,en,No rating,http://books.google.co.in/books?id=Ae2MBqG9bGkC&printsec=frontcover&dq=subject:poetry&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Ae2MBqG9bGkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Iliad & Odyssey,Homer,"No home library is complete without the classics! Iliad & Odyssey brings together the two essential Greek epics from the poet Homer in an omnibus edition-a keepsake to be read and treasured. The Iliad and The Odyssey are two of the oldest works of Western literature--yet these ancient myths still offer powerful lessons for our times. From the fascinating fall of Troy to Odysseus' perilous journey home, from the gods and goddesses to the Sirens and the suitors, the events and characters of these epic tales captivate us, teach us, and inspire us. Their influence can be seen far and wide, from James Joyce's Ulysses to the movie sensation Troy, starring Brad Pitt. Whether you've read Homer's original stories or you've only enjoyed their modern-day descendants, you'll love this Canterbury Classics edition of Iliad & Odyssey, and will be moved by these magical works. A classic keepsake for fans of Greek mythology, as well as all great literature, Iliad & Odyssey is the perfect addition to any library.",Poetry,2012-11-15,545,en,No rating,http://books.google.co.in/books?id=6ihZDwAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=6ihZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The World's Wife,Carol Ann Duffy,"This unique collection of poems from the Poet Laureate, filled with her characteristic wit, is a feminist classic and a modern take on age-old mythology. Who? Him. The Husband. Hero. Hunk. The Boy Next Door. The Paramour. The Je t'adore. Behind every famous man is a great woman – and from the quick-tongued Mrs Darwin to the lascivious Frau Freud, from the adoring Queen Kong to the long-suffering wife of the Devil himself, each one steps from her counterpart's shadow to tell her side of the story in this irresistible collection. Original, subversive, full of imagination and quicksilver wit, The World's Wife is Poet Laureate Carol Ann Duffy at her beguiling best.",Poetry,2014-12-15,86,en,No rating,http://books.google.co.in/books?id=E_8VBAAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=E_8VBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Gitanjali,Rabindranath Tagore,"Gitanjali (Song offering) is a collection of Bengali poems by the poet Rabindranath Tagore. Tagore received the Nobel Prize for Literature, largely for the book. And is part of the Collection from the UNESCO of Representative Works. The original Bengali collection of 103/157 poems was published on August 14, 1910. The English Gitanjali or Song Offerings is a collection of 103 English poems of Tagore's own English translations of his Bengali poems first published in November 1912 by the India Society of London. It contained translations of 53 poems from the original Bengali Gitanjali, as well as 50 other poems which were from his drama Achalayatan and eight other books of poetry - mainly Gitimalya (17 poems), Naivedya (15 poems) and Kheya (11 poems). The translations were often radical, leaving out or altering large chunks of the poem and in one instance fusing two separate poems (song 95, which unifies songs 89,90 of Naivedya). The translations were undertaken prior to a visit to England in 1912, where the poems were extremely well received. In 1913, Tagore became the first non-European to win the Nobel Prize for Literature, largely for the English Gitanjali. The English Gitanjali became popular in the West, and was widely translated. The word gitanjali is composed from ""geet"", song, and ""anjali"", offering, and thus means - ""An offering of songs""; but the word for offering, anjali, has a strong devotional connotation, so the title may also be interpreted as ""prayer offering of song"". William Butler Yeats wrote the introduction to the first edition",Literary Criticism,2024-02-04,0,en,No rating,http://books.google.co.in/books?id=YN2O0AEACAAJ&dq=subject:poetry&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=YN2O0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Riverside Chaucer,"Geoffrey Chaucer, Larry Dean Benson","A re-editing of F.N. Robinson's second edition of The works of Geoffrey Chaucer published in 1957 by the team of experts at the Riverside Institute who have greatly expanded the introductory material, explanatory notes, textual notes, bibliography and glossary. The result of many years' study. The Riverside Chaucer is the most authentic and exciting edition available of Chaucer's complete works.",Christian pilgrims and pilgrimages,2008,1386,en,5,http://books.google.co.in/books?id=E4DXD7Sk7WcC&printsec=frontcover&dq=subject:poetry&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=E4DXD7Sk7WcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Metamorphoses,Ovid,"The modern, unacademic idiom of A.D. Melville's translation opens the way to a fresh understanding of Ovid's unique and elusive vision of reality.",Literary Criticism,2008-09-11,529,en,No rating,http://books.google.co.in/books?id=UwQUDAAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=UwQUDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
50 Years of DNA,"J. Clayton, C. Dennis","Crick and Watson's discovery of the structure of DNA fifty years ago marked one of the great turning points in the history of science. Biology, immunology, medicine and genetics have all been radically transformed in the succeeding half-century, and the double helix has become an icon of our times. This fascinating exploration of a scientific phenomenon provides a lucid and engaging account of the background and context for the discovery, its significance and afterlife, while a series of essays by leading scientists, historians and commentators offers uniquely individual perspectives on DNA and its impact on modern science and society.",Literary Criticism,2016-04-30,145,en,No rating,http://books.google.co.in/books?id=p3YYDAAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=p3YYDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Prophet,Kahlil Gibran,"A 20th century classic, The Prophet is thought-provoking, comforting and wise, and its simple truths remain compelling and rewarding to this day. Utterly unique and beloved around the world, The Prophet is a collection of twenty-six poetic essays by the Lebanese artist, philosopher and writer Kahlil Gibran. Telling the story of the prophet Al-Mustafa and his conversations with various acquaintances as he returns home after a long absence, the book touches on subjects of universal concern, including love, friendship, passion, pain, religion and freedom.",Fiction,2020-10-29,No page count available,en,No rating,http://books.google.co.in/books?id=nAYBEAAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=nAYBEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Pied Piper of Hamelin,Robert Browning,No description available,English poetry,1897,104,en,No rating,http://books.google.co.in/books?id=byYN6-zmaZcC&printsec=frontcover&dq=subject:poetry&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=byYN6-zmaZcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Matthew Arnold's Sohrab and Rustum and Other Poems,Matthew Arnold,"DigiCat Publishing presents to you this special edition of ""Matthew Arnold's Sohrab and Rustum and Other Poems"" by Matthew Arnold. DigiCat Publishing considers every written word to be a legacy of humankind. Every DigiCat book has been carefully reproduced for republishing in a new modern format. The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.",Poetry,2022-09-16,322,en,No rating,http://books.google.co.in/books?id=PaeKEAAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=PaeKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
