Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Autobiography of a Yogi,Yogananda Paramahansa,Für die indische Kultur ist seit alters zweierlei charakteristisch: die Suche nach der letzten Wahrheit und das damit zusammenhängende Verhältnis zwischen Guru und Jünger.,"Autobiography, Yogis, Yoga, Yoguis, Biografía, Spiritual biography, Biography & Autobiography, New Age, Nonfiction, Biography, Correspondence, reminiscences, Autobiographies, General, Biography / Autobiography, Yōga (Japanese painting styles), Yogananda, paramahansa, 1893-1952, Gurus, Hinduism, Kriya Yoga, Hindus, Self-realization, Spirituality, Radio programs, Popular culture, Social life and customs",1946,No page count available,"san, est, fre, ger, mal, vie, mar, spa, hin, por, tur, und, swe, rus, eng, jpn",No rating,https://openlibrary.org/works/OL528094W,https://covers.openlibrary.org/b/id/805448-M.jpg
A Brief History of Time,Stephen Hawking,A WELL-KNOWN SCIENTIST (some say it was Bertrand Russell) once gave a public lecture on astronomy.,"Cosmologie, Temps (durée), Espace-temps, Vulgarisation scientifique, Univers, Espace extraterrestre, Expansion, Cosmology, Origine, Trous noirs (astronomie), Cosmogonie, Big Bang, Espace et temps, Cosmologia, Time, Space and time, Einfühlung, Kosmologie, Open Library Staff Picks, Raum-Zeit, Einführung, Universe, Relativité (physique), Physics, Creation, Temps, Astronomy, Sciences de l'espace, Einfuhrung, Relativite (physique), Large type books, science, astrophysics, popular science, Black holes, nyt:audio-nonfiction=2018-04-08, New York Times bestseller, nyt:science=2014-03-09, Long Now Manual for Civilization, Universo, Cosmología, Quantum theory, Weltall, Raum und Zeit, Allgemeinwissen, Einheitliche Feldtheorie, Schwarzes Loch, Astrophysik, Kosmogonie, Zeit, Raum, Science, history, Black holes (Astronomy), Physique, Naturphilosophie, Théorie, Sciences, Astrophysique, Philosophie, Kosmologia, Popular works, Przestrzeń i czas, Fizyka, Filozofia",1988,No page count available,"tur, chi, fin, ita, fre, cze, gre, rus, vie, dut, spa, ger, pol, eng",No rating,https://openlibrary.org/works/OL1892617W,https://covers.openlibrary.org/b/id/10432365-M.jpg
The Two Towers,J.R.R. Tolkien,Aragorn gravit rapidement la colline.,"Ents, Orcs, hobbits, magic, Ficción fantástica inglesa, Ficción, translations into Spanish, readers for new literates, The Lord of the Rings, English Fantasy fiction, Open Library Staff Picks, Fiction, Fantasy, Popular Carousel, Middle Earth (Imaginary place), Tierra Media (Lugar imaginario), Baggins, Frodo (Personaje literario), Chinese language materials, Translations into Chinese, English fiction, Frodo Baggins (Fictitious character), Fantasy fiction, Adventure fiction, Fiction, fantasy, epic, Middle earth (imaginary place), fiction, Baggins, frodo (fictitious character), fiction, Gandalf (fictitious character), fiction, Fantasmes, Roman fantastique, Spanish: Adult Nonfiction, Large type books, Gondolf (Fictitious character), Epic fiction, FICTION / Fantasy / Epic, Fantastic fiction, Fiction, fantasy, general, Science-fiction anglaise, English Fantastic fiction, Translations into French, French language materials, Terre du Milieu (Lieu imaginaire), Romans, nouvelles, Hobbits (Fictitious characters), Hobbits (Personnages fictifs), Littérature britannique, Fantasy anglaise, Baggins, Frodo (Personaje ficticio), Novela, Geographical myths, Children's fiction, Baggins, bilbo (fictitious character), fiction, Lord of the rings (Tolkien, J.R.R.), In library, Gandalf (Fictitious character), Accessible book, Protected DAISY, Popular Print Disabled Books, Internet Archive Wishlist, English literature",1954,No page count available,"chi, dan, yid, eng, ast, fre, jpn, hun, hrv, baq, ita, afr, ind, pol, ger, cat, por, cze, swe, spa, tur, dut, bul, rus",No rating,https://openlibrary.org/works/OL27479W,https://covers.openlibrary.org/b/id/14627564-M.jpg
Tender is the Night,F. Scott Fitzgerald,No description available,"Fiction, Psychiatrists, Wealth, Moral and ethical aspects of Wealth, Facsimiles, American Manuscripts, Manuscripts, Moral and ethical aspects, Literature, Psychological fiction, Love stories, The Arts, Fitzgerald, F. Scott, 20th Century American Novel And Short Story, Literature - Classics / Criticism, French, Literature: Classics, USA, Classics, (Francis Scott),, 1896-1940, Manuscripts, American, Historical fiction, Romance fiction, Psychiatrists, fiction, France, fiction, Fiction, psychological, American fiction (fictional works by one author), English, Modern Literature, Large type books, American fiction, Europe - Fiction, English fiction, Romance Norte Americano, Psychology, Popular Work, Richesse, Romans, nouvelles, Aspect moral, Psychiatres, Fiction, general, Histoires d'amour, American literature, Medicine in Literature, Fiction, family life, marriage & divorce, Fiction, classics, English literature",1933,No page count available,"cze, kor, fre, spa, dut, eng, ita, rus",No rating,https://openlibrary.org/works/OL468485W,https://covers.openlibrary.org/b/id/6984433-M.jpg
Братья Карамазовы,Фёдор Михайлович Достоевский,"Alexey Fyodorovitch Karamazov was the third son of Fyodor Pavlovitch Karamazov, a landowner well known in our district in his own day, and still remembered among us owing to his gloomy and tragic death, which happened thirteen years ago, and which I shall describe in its proper place.","Literature - Classics / Criticism, Russian, Literature: Classics, Classics, Literary, 19th century fiction, Russian Novel, Crime and criminals, Russian literature, Fiction, fiction classics, literary fiction, murder, Brothers, Fathers and sons, Social life and customs, Romance russo, Criticism and interpretation, Long Now Manual for Civilization, Literature, Collections, Indexes, Translations into English, Ancient History, History, Doctrines, Dominicans. English Province, Catholic Church, Dominicans, Continental european fiction (fictional works by one author), Fathers and sons, fiction, Fiction, psychological, Fiction, family life, Brothers, fiction, Russia (federation), fiction, Littérature, Index, Manners and customs, Notebooks, sketchbooks, Bratʹi︠a︡ Karamazovy (Dostoyevsky, Fyodor), Russia, Psychology, Popular Work, Fiction, family life, general, Teologia, Russian fiction, Translations from Russian, Astronomy, Early works to 1800, Greek Mathematics, Political science, Political ethics, The State, Controversial literature",1880,No page count available,"tur, swe, fre, fin, ita, yid, gre, jpn, rus, vie, por, spa, und, dan, ger, pol, eng",No rating,https://openlibrary.org/works/OL10432709W,https://covers.openlibrary.org/b/id/8272336-M.jpg
Смерть Ивана Ильича,"Лев Толстой, Anthony Briggs, Anthony Horvath, Constance Garnett (translator), Zinc Read","During an interval in the Melvinski trial in the large building of the Law Courts the members and public prosecutor met in Ivan Egorovich Shebek's private room, where the conversation turned on the celebrated Krasovski case.","Literature, Manners and customs in fiction, Novellas, Fiction, Death in fiction, Russian, Russian fiction, Continental european fiction (fictional works by one author), Russian language, Readers, Death, Sick, Russian Short stories, open_syllabus_project, Diseases, Judges, Slavic philology, Tolstoy, leo, graf, 1828-1910, Russian literature, history and criticism, Fiction, general, Ingles (lingua), Romance ingles, Literatura inglesa, Children's fiction, Death, fiction, Literature and fiction (general), Literature and fiction, short stories and essays, Russian literature, Smertʹ Ivana Ilʹicha (Tolstoy, Leo, graf), Literature--russian, Fiction in russian, 1800-1917 - english texts, Pg3366.s6 s6 1981, Pg 3366.s6 t654d 1981, 891.73/3, Fictional Works, Sick--fiction, Death--fiction, Pg3366.s6 d74 2008, Classic Literature, Drama, Historical Fiction, Fiction, historical, general, Fiction, psychological, Fiction, classics, Modern Literature, Attitude to Death, Popular Works, Terminally Ill",1887,No page count available,"fre, ger, spa, eng, rus",No rating,https://openlibrary.org/works/OL267174W,https://covers.openlibrary.org/b/id/419697-M.jpg
Carrie,Stephen King,"Fuentes fidedigmas nos informan que el 17 del presente se produjo una lluvia de piedras en la calle Carlin, en circunstancias en que el cielo se presentaba totalmente despejado.","occult & supernatural fiction, horror fiction, psychological thrillers, Fiction, Horror, American Horror tales, thriller, Epistolary novel, telekinesis, Menarche, proms, menstruation, telepathy, banned book, Estudiantes de escuelas secundarias, Psicocinética, Psychokinesis, Teenage girls, Social isolation, High school students, Madres e hijas, Mothers and daughters, Ficción, Aislamiento social, Child abuse, Bullying, Supernatural, Horror stories, Fiction, horror, Belonging, FICTION / Horror, FICTION / Occult & Supernatural, FICTION / Thrillers / Psychological, Elèves du secondaire, Romans, Horreur, Psychokinésie, Violence envers les enfants, Good and evil, Revenge, Bullies, English fiction, Translations into Spanish, Escuelas secundarias, Novela, Estudiantes, Abuso de niños, Novela inglés, Traducciones en español, Cuentos populares de terror, Spanish language materials, Estudiantes de escuela secundaria, Psicokinesis, Novela inglesa, Traducciones al español, American literature, Arabic language, White, carrie (fictitious character), fiction, Chamberlain (me. : imaginary place), fiction, Maine, fiction, Large type books, Science Fiction - General, King, Stephen - Prose & Criticism, Fiction - Horror, Classics, Horror - General, Horror & ghost stories",1974,No page count available,"spa, ger, rus, eng, ita, fre, chi, por",No rating,https://openlibrary.org/works/OL81626W,https://covers.openlibrary.org/b/id/9256043-M.jpg
Decamerone,Giovanni Boccaccio,"Every time I stop to consider your natural inclination to pity, most gracious ladies, I recognize that you will find the opening of this present work abhorrent and distressing; for so is the painful recapitulation of the recent deadly plague, which occasioned hardship and grief to everyone who witnessed it or had some experience of it, and which marks the introduction of my work.","Fiction, historical, general, Europe, fiction, Fiction, Plague, Storytelling, History, Ficción, Italian literature, Middle Ages, Peste bubónica, Narración de cuentos, Juvenile literature, Historia, Translations from Italian, Illumination of books and manuscripts, Glossaries, Hebrew literature, DIllustrations, Illustration of books, Italian Short stories, Language, Translations into English, Translations, Translations into Hebrew, Alegorías, English Short stories, Classic Literature, Literature, Accessible book, Protected DAISY, Popular Print Disabled Books, Charts, diagrams, Physiology, Human anatomy, Plague -- Europe -- History -- Fiction, Storytelling -- Fiction, Continental european fiction (fictional works by one author), Fiction, historical, British and irish fiction (fictional works by one author), Fiction, erotica, general, Fiction, short stories (single author), Middle High German, Works in Middle High German, Fiction, general, Boccaccio, giovanni, 1313-1375, Italian literature, translations into english, Allegories, Frame-stories, Literature, collections, Canon (Literature), Art de conter, Romans, nouvelles, Peste, Histoire, Moyen Âge, Chefs-d'œuvre (Littérature), Jaffe Collection, Plague in fiction, Storytelling in fiction, Literature in Spanish, Italian fiction, Plague--history, Plague--europe--history--fiction, Storytelling--fiction, Pq4272.e5 a355 1972, 853/.1, 1762, Literatura Italiana (Historia E Critica), Translations into Japanese, Italitan literature, Medieval Illumination of books and manuscripts, French Manuscripts, Facsimiles, Adaptations, Comic books, strips, Illustrations, Medieval Tales, Italian Erotic stories, Seduction, Deception, Women and erotica, Erotica",1516,No page count available,"dan, cmn, ita, fre, ger, heb, pol, und, spa, eng, cze, chi, enm, arm, rus, ukr, wel, yid, jpn, cat, frm, dut",No rating,https://openlibrary.org/works/OL7180368W,https://covers.openlibrary.org/b/id/6073528-M.jpg
Mere Christianity,C.S. Lewis,Every one has heard people quarreling.,"Apologetics, Doctrinal Theology, Popular works, Christianity, Christian ethics, Anglican authors, Theology, doctrinal, popular works, Christian ethics, anglican authors, Large type books, History, Teología dogmática, Obras populares, Apologética, Teología moral, Historia, Theology, doctrinal",1943,No page count available,"spa, rum, por, eng",No rating,https://openlibrary.org/works/OL71056W,https://covers.openlibrary.org/b/id/6538891-M.jpg
Andy Warhol,Andy Warhol,No description available,"Travel, Art collections, Abstract Art, Films, Death in art, Criticism and interpretation, Themes, motives, Pictorial works, Beeldende kunsten, Serigraphy, Flowers in art, Private collections, Self-portraits, Pop art, Exhibitions, Portrait photography, Artistic Photography, Celebrities, Portraits, Still-life in art, Televisieprogramma's, Biography, Decorative Arts Drawing, OUR Brockhaus selection, Bildende Kunst, American Art, History - General, Warhol, Andy, Art & Art Instruction, Art, Photography, Photo Techniques, Individual Photographer, Photography / Individual Photographer, Techniques - Color, History of art & design styles: from c 1900 -, Individual artists, Individual Artist, Film & Video - General, Art / Individual Artist, Collections, Catalogs, Exhibitions - General, History - Modern, Popular Culture - General, History Of Art / Art & Design Styles, Warhol, andy, 1928-1987, Artists, united states, Artists, biography, Painting, american, Painting, exhibitions, Shoes in art, Photography of the nude, Modern Art, Art and society, German Art, Nineteen nineties",1967,No page count available,"fre, ger, eng, spa, mul, ita",No rating,https://openlibrary.org/works/OL644644W,https://covers.openlibrary.org/b/id/1027207-M.jpg
