Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Harpercollins Book Of New Indian Fiction,Khushwant Singh,"In this unparalleled collection of short stories, The HarperCollins Book of New Indian Fiction presents an absorbing view of one of the most fertile literary landscapes in the world. Traversing continents and orbits, styles and themes, in rich, original and frequently surprising ways, the stories testify to the range and depth of Indian writing in English. Variously lyric, satiric, tragic and fantastic, they are unified in their vigour and humanity. T The anthology features a rich assortment of voices from both new authors and established names including Abraham Verghese, Manju Kapur, Githa Hariharan and Amitava Kumar. With an insightful introduction by Khushwant Singh, one of India's foremost literary personalities, this is the definitive survey of a lively modern scene.",Fiction,2005-02-16,220,en,No rating,http://books.google.co.in/books?id=L9NlAAAAMAAJ&q=fiction&dq=fiction&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=L9NlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Oath of the Vayuputras,Amish Tripathi,"Shiva has accepted his destiny, but it has brought him to despair. Can he heal himself and the people who look to him as a god? Today, Shiva is a god. But four thousand years ago, he was just a man - until he brought his people to Meluha, a near-perfect empire founded by the great king Lord Ram. There he realised he was the Neelkanth, a barbarian long prophesied to be Meluha's saviour. But in his hour of victory fighting the Chandravanshis - Meluha's enemy - he discovered they had their own prophecy. Now he must fight to uncover the treachery within his inner circle, and unmask those who are about to destroy all that he has fought for. Shiva is about to learn that good and evil are two sides of the same coin . . .",Fiction,2014-05-29,400,en,No rating,http://books.google.co.in/books?id=ZO9gBQAAQBAJ&printsec=frontcover&dq=fiction&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=ZO9gBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Prose Fiction: An Introduction to the Semiotics of Narrative,Ignasi Ribó,"This concise and highly accessible textbook outlines the principles and techniques of storytelling. It is intended as a high-school and college-level introduction to the central concepts of narrative theory – concepts that will aid students in developing their competence not only in analysing and interpreting short stories and novels, but also in writing them. This textbook prioritises clarity over intricacy of theory, equipping its readers with the necessary tools to embark on further study of literature, literary theory and creative writing. Building on a ‘semiotic model of narrative,’ it is structured around the key elements of narratological theory, with chapters on plot, setting, characterisation, and narration, as well as on language and theme – elements which are underrepresented in existing textbooks on narrative theory. The chapter on language constitutes essential reading for those students unfamiliar with rhetoric, while the chapter on theme draws together significant perspectives from contemporary critical theory (including feminism and postcolonialism). This textbook is engaging and easily navigable, with key concepts highlighted and clearly explained, both in the text and in a full glossary located at the end of the book. Throughout the textbook the reader is aided by diagrams, images, quotes from prominent theorists, and instructive examples from classical and popular short stories and novels (such as Jane Austen’s Pride and Prejudice, Franz Kafka’s ‘The Metamorphosis,’ J. K. Rowling’s Harry Potter, or Dostoyevsky’s The Brothers Karamazov, amongst many others). Prose Fiction: An Introduction to the Semiotics of Narrative can either be incorporated as the main textbook into a wider syllabus on narrative theory and creative writing, or it can be used as a supplementary reference book for readers interested in narrative fiction. The textbook is a must-read for beginning students of narratology, especially those with no or limited prior experience in this area. It is of especial relevance to English and Humanities major students in Asia, for whom it was conceived and written.",Education,2019-12-13,122,en,No rating,http://books.google.co.in/books?id=TGDIDwAAQBAJ&pg=PP1&dq=fiction&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=TGDIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Barlasch of the Guard,Henry Seton Merriman,Reproduction of the original. The publishing house Megali specialises in reproducing historical works in large print to make reading easier for people with impaired vision.,Fiction,2024-02-26,342,en,No rating,http://books.google.co.in/books?id=QYD3EAAAQBAJ&printsec=frontcover&dq=fiction&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=QYD3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
When We Were Animals,Joshua Gaylord,"Nobody knew why, but when the boys and girls reached a certain age the parents locked themselves up in their houses, and the teenagers ran wild... Lumen Fowler knows she is different. While the rest of her peers are falling beneath the sway of her community’s darkest rite of passage, she resists. For Lumen has a secret. Her mother never ‘breached’ and she knows she won’t either. But as she investigates her town’s strange traditions and unearths stories from her family’s past, she soon realises she may not know herself – or her wild side – at all...",Fiction,2020-04-30,338,en,No rating,http://books.google.co.in/books?id=TuveDwAAQBAJ&printsec=frontcover&dq=fiction&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=TuveDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Get to the Point!,Joel Schwartzberg,"In this indispensable guide for anyone who must communicate in speech or writing, Schwartzberg shows that most of us fail to convince because we don't have a point-a concrete contention that we can argue, defend, illustrate, and prove. He lays out, step-by-step, how to develop one. In Joel's Schwartzberg's ten-plus years as a strategic communications trainer, the biggest obstacle he's come across-one that connects directly to nervousness, stammering, rambling, and epic fail-is that most speakers and writers don't have a point. They typically have just a title, a theme, a topic, an idea, an assertion, a catchphrase, or even something much less. A point is something more. It's a contention you can propose, argue, defend, illustrate, and prove. A point offers a position of potential value. Global warming is real is not a point. Scientific evidence shows that global warming is a real, human-generated problem that will have a devastating environmental and financial impact is a point. When we have a point, our influence snaps into place. We communicate belief, conviction, and urgency. This book shows you how to identify your point, leverage it, stick to it, and sell it and how to train others to identify and successfully make their own points.",Business & Economics,2017-10-16,129,en,No rating,http://books.google.co.in/books?id=7EHKDgAAQBAJ&pg=PP1&dq=fiction&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=7EHKDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Art of Fiction,David Lodge,"In this entertaining and enlightening collection David Lodge considers the art of fiction under a wide range of headings, drawing on writers as diverse as Henry James, Martin Amis, Jane Austen and James Joyce. Looking at ideas such as the Intrusive Author, Suspense, the Epistolary Novel, Magic Realism and Symbolism, and illustrating each topic with a passage taken from a classic or modern novel, David Lodge makes the richness and variety of British and American fiction accessible to the general reader. He provides essential reading for students, aspiring writers and anyone who wants to understand how fiction works.",Literary Criticism,2012-04-30,255,en,No rating,http://books.google.co.in/books?id=MnKdAfqLG14C&printsec=frontcover&dq=fiction&hl=&cd=7&source=gbs_api,http://books.google.com/books/content?id=MnKdAfqLG14C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
You Only Live Once,Stuti Changle,"What if you ran away from your life today? Twenty years later, three people are looking for you. One is dying to meet you again. The other wishes you had never met them. The third wishes they could have met you at least once. You are one person. Aren't you? But you are not the same person to each of them. Find the answers about your own life in this story about searching for love and discovering yourself. Join a broken but rising YouTube star Alara, a struggling but hopeful stand-up comedian Aarav, and a zany but zen beach shack owner Ricky. Together, take the journey to seek the truth behind the famous singer Elisha's disappearance somewhere by the deep sea in Goa. Will you be able to find Elisha? Or will you end up finding yourself?",Fiction,2021-02-15,170,en,No rating,http://books.google.co.in/books?id=NOcdEAAAQBAJ&pg=PP1&dq=fiction&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=NOcdEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
101 Inspiring Stories,G. Francis Xavier,"This is one of the many inspiring books from the renowned “Motivator” Dr. G. Francis Xavier. Evidently, this harvest of stories has been gleaned from lands he visited and books he read. Xavier, who conducts full-house personal growth courses has brought out this compendium in an interactive form, making the reader give the answers at the end of the story, which is a novel approach. Stories and examples are the best way to inspire, and this volume can be gifted to anyone. It is useful for preachers, speakers and teachers. The book appeals to readers of all ages except the morose and irredeemable negaholics (negative thinking addicts) and anti-reading teenagers. It has stories to inspire and promises uninterrupted chuckles till the end. There are also quotations on success.",Self-Help,2014-12-01,145,en,5,http://books.google.co.in/books?id=qdTgpEwSiIQC&printsec=frontcover&dq=fiction&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=qdTgpEwSiIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Gollancz Book of South Asian Science Fiction,Tarun Saint,"Singular visions of the future that will thrill, amuse, startle and intrigue. On an ordinary morning, the citizens of Karachi wake up to discover the sea missing from their shores. The last Parsi left on Earth must look for other worlds to escape to when debt collectors come knocking. A family visiting a Partition-themed park gets more entertainment than they bargained for. Gandhi appears in the present day under rather unusual circumstances. Aliens with an agenda arrive at a railway station in Uttar Pradesh. Two young scientists seek to communicate with forests even as the web of life threatens to collapse. A young girl's personal tragedy finds a surprising resolution as she readies herself for an expedition of a lifetime. These and other tales of masterful imagination illuminate this essential volume of new science fiction that brings together some of the most creative minds in contemporary literature. A must-have collectible, The Gollancz Book of South Asian Science Fiction offers fresh perspectives on our hyper-global, often alienating and always paranoid world, in which humanity and love may yet triumph.",Fiction,2019-02-25,424,en,No rating,http://books.google.co.in/books?id=1E-IDwAAQBAJ&pg=PA60&dq=fiction&hl=&cd=10&source=gbs_api,http://books.google.com/books/content?id=1E-IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Queen of the Night,Alexander Chee,"Recommended by The Observer . . . 'One doesn't so much read it, as one is bewitched by it. Epic, gorgeous, haunting' HANYA YANAGIHARA, author of A Little Life When it begins, it begins as an opera should begin: in a palace, at a ball, in an encounter with a stranger, who you discover has your fate in his hands . . . She is Lilliet Berne. And she is the soprano. 1882. One warm autumn evening in Paris, Lilliet is finally offered an original role, though it comes at a price. The part is based on her deepest secret. Only four people could have betrayed her: one is dead, one loves her still, one wants only to own her. And one, she hopes, never thinks of her at all. In taking this role Lilliet is forced to confront her darkest lies but will the truth save Lilliet - or destroy her? 'Brilliantly extravagant' VOGUE 'Terrific' NEW YORKER",Fiction,2016-04-21,580,en,No rating,http://books.google.co.in/books?id=-L64CwAAQBAJ&printsec=frontcover&dq=fiction&hl=&cd=11&source=gbs_api,http://books.google.com/books/content?id=-L64CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Thirteenth Tale,Diane Setterfield,"When her health begins failing, the mysterious author Vida Winter decides to let Margaret Lea, a biographer, write the truth about her life, but Margaret needs to verify the facts since Vida has a history of telling outlandish tales.",Fiction,2007-10-09,448,en,4.5,http://books.google.co.in/books?id=IhyOIfJk0GcC&printsec=frontcover&dq=fiction&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=IhyOIfJk0GcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Man in the High Castle,Philip K. Dick,"Slavery is back. America, 1962. Having lost a war, America finds itself under Nazi Germany and Japan occupation. A few Jews still live under assumed names. The 'I Ching' is prevalent in San Francisco. Science fiction meets serious ideas in this take on a possible alternate history.",Fiction,2011,291,en,No rating,http://books.google.co.in/books?id=NtukmPtq2l8C&pg=PP1&dq=fiction&hl=&cd=13&source=gbs_api,http://books.google.com/books/content?id=NtukmPtq2l8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Course of True Love (and First Dates),Cassandra Clare,"Magnus Bane and Alec Lightwood might fall in love—but first they have a first date. One of ten adventures in The Bane Chronicles. When Magnus Bane, warlock, meets Alec Lightwood, Shadowhunter, sparks fly. And what happens on their first date lights a flame... This standalone e-only short story illuminates the life of the enigmatic Magnus Bane, whose alluring personality populates the pages of the #1 New York Times bestselling series The Mortal Instruments and The Infernal Devices. This story in The Bane Chronicles, The Course of True Love (and First Dates), is written by Cassandra Clare.",Juvenile Fiction,2014-03-18,47,en,No rating,http://books.google.co.in/books?id=GdgeAAAAQBAJ&printsec=frontcover&dq=fiction&hl=&cd=14&source=gbs_api,http://books.google.com/books/content?id=GdgeAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
In Every Moment We Are Still Alive,Tom Malmquist,"A NEW YORK TIMES NOTABLE BOOK of 2018 * Amazon Book of the Month ✳︎ Indies Introduce 2018 ✳︎ INDIES NEXT 2018 Selection ""In Every Moment We Are Still Alive is a tremendous feat of emotional and artistic discipline. ... a triumph.""— New York Times Book Review Acclaimed on the front page of the New York Times Book Review, a stunning tour de force telling a powerful tale of love, loss, and redemption In Every Moment We Are Still Alive tells the story of a man whose world has come crashing down overnight: His long-time partner has developed a fatal illness, just as she is about to give birth to their first child ... even as his father is diagnosed with cancer. Reeling in grief, Tom finds himself wrestling with endless paperwork and indecipherable diagnoses, familial misunderstandings and utter exhaustion while trying simply to comfort his loved ones as they begin to recede from him. But slowly, amidst the pain and fury, arises a story of resilience and hope, particularly when Tom finds himself having to take responsibility for the greatest gift of them all, his newborn daughter. Written in an unforgettable style that dives deep into the chaos of grief and pain, yet also achieves a poetry that is inspiring, In Every Moment We Are Still Alive is slated to become one of the most stirring novels of the year.",Fiction,2018-01-30,241,en,No rating,http://books.google.co.in/books?id=GiLXDgAAQBAJ&printsec=frontcover&dq=fiction&hl=&cd=15&source=gbs_api,http://books.google.com/books/content?id=GiLXDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
